month,base_payment,cost,revenue,adjustment,margin,wmvi,employer_exposure,regime,event,cap_hit,project
2022-06-01,0.05839319967111854,0.06369910929579722,0.05886034526848749,0.00046714559736894833,-0.004838764027309733,2.636389807446853,0.0014998033419583582,DAM,True,True,building
2022-07-01,0.046309947444497145,0.051123607922108336,0.046680427024053124,0.00037047957955597716,-0.0044431808980552115,2.0246570967931357,0.0018702829215143353,DAM,True,True,building
2022-08-01,0.03559550566771102,0.039238675801090236,0.03531074162236933,-0.00028476404534168815,-0.003927934178720907,1.846293002923112,0.0015855188761726472,DAM,True,True,building
2022-09-01,0.026707411512321422,0.029681715227682284,0.026707411512321422,0.0,-0.002974303715360862,0.33071541717846953,0.0015855188761726472,DAM,False,False,building
2022-10-01,0.01967788666114087,0.021839108850690937,0.019550996553310763,-0.00012689010783010696,-0.0022881122973801744,1.4798907025779506,0.0014586287683425402,DAM,True,False,building
2021-03-01,0.04978706836786394,0.050992245051689124,0.04978706836786394,0.0,-0.0012051766838251862,-0.5684711259200619,0.0,Fixed-price,False,False,water
2021-04-01,0.01730640935067218,0.01775116085685691,0.01730640935067218,0.0,-0.0004447515061847297,-1.1629186746394269,0.0,Fixed-price,False,False,water
2021-05-01,0.022781589352649862,0.02341564672463921,0.022781589352649862,0.0,-0.0006340573719893494,-1.0270971111415526,0.0,Fixed-price,False,False,water
2021-06-01,0.02957678619012032,0.03042280054180175,0.02957678619012032,0.0,-0.0008460143516814296,-1.0234795015896792,0.0,Fixed-price,False,False,water
2021-07-01,0.03771648250320634,0.039562738619941126,0.03771648250320634,0.0,-0.001846256116734786,-0.17507464997800753,0.0,Fixed-price,False,False,water
2021-08-01,0.04701169781950759,0.04935970233214135,0.04701169781950759,0.0,-0.0023480045126337556,-0.19241635420053954,0.0,Fixed-price,False,False,water
2021-09-01,0.05695978706288449,0.059986371720372925,0.05695978706288449,0.0,-0.0030265846574884375,-0.16462069989965356,0.0,Fixed-price,False,False,water
2021-10-01,0.06668946003627553,0.07005977909654301,0.06668946003627553,0.0,-0.003370319060267482,0.5228340253777541,0.0,Fixed-price,False,False,water
2021-11-01,0.0750208504473029,0.07953288494215977,0.0750208504473029,0.0,-0.004512034494856862,-0.41469653089788716,0.0,Fixed-price,False,False,water
2021-12-01,0.08069031776349986,0.08563469159603958,0.08069031776349986,0.0,-0.00494437383253972,-0.21193500337216453,0.0,Fixed-price,False,False,water
2022-01-01,0.08270617057989789,0.08925056231740656,0.08270617057989789,0.0,-0.006544391737508676,-0.4588434300588735,0.0,Fixed-price,False,False,water
2022-02-01,0.08069031776349962,0.08688148635149305,0.08069031776349962,0.0,-0.006191168587993429,0.11903503754810331,0.0,Fixed-price,False,False,water
2022-03-01,0.07502085044730285,0.08128483909159591,0.07502085044730285,0.0,-0.0062639886442930615,1.1020502168456427,0.0,Fixed-price,False,False,water
2022-04-01,0.06668946003627553,0.07292362743840806,0.06668946003627553,0.0,-0.006234167402132534,-0.13069330358515868,0.0,Fixed-price,False,False,water
2022-05-01,0.05695978706288466,0.06314527873380679,0.05695978706288466,0.0,-0.006185491670922132,1.953889663512594,0.0,Fixed-price,False,False,water
2022-06-01,0.047011697819507536,0.05262745185577141,0.047011697819507536,0.0,-0.005615754036263874,2.636389807446853,0.0,Fixed-price,False,False,water
2022-07-01,0.03771648250320634,0.04271109057623915,0.03771648250320634,0.0,-0.004994608073032807,2.0246570967931357,0.0,Fixed-price,False,False,water
2022-08-01,0.029576786190120333,0.03358277201277748,0.029576786190120333,0.0,-0.004005985822657144,1.846293002923112,0.0,Fixed-price,False,False,water
2022-09-01,0.022781589352649817,0.025892413760669256,0.022781589352649817,0.0,-0.0031108244080194393,0.33071541717846953,0.0,Fixed-price,False,False,water
2022-10-01,0.01730640935067242,0.01981636327546151,0.01730640935067242,0.0,-0.0025099539247890913,1.4798907025779506,0.0,Fixed-price,False,False,water
2021-03-01,0.04978706836786394,0.050992245051689124,0.04978706836786394,0.0,-0.0012051766838251862,-0.5684711259200619,0.0,FIDIC 13.8,False,False,water
2021-04-01,0.01730640935067218,0.01775116085685691,0.017321902441433817,1.5493090761637615e-05,-0.00042925841542309356,-1.1629186746394269,1.5493090761637615e-05,FIDIC 13.8,True,False,water
2021-05-01,0.022781589352649862,0.02341564672463921,0.022810750003015044,2.91606503651818e-05,-0.0006048967216241673,-1.0270971111415526,4.4653741126819414e-05,FIDIC 13.8,True,False,water
2021-06-01,0.02957678619012032,0.03042280054180175,0.02959048599520777,1.3699805087450549e-05,-0.0008323145465939791,-1.0234795015896792,5.835354621426996e-05,FIDIC 13.8,True,False,water
2021-07-01,0.03771648250320634,0.039562738619941126,0.03817693084492227,0.00046044834171593107,-0.0013858077750188574,-0.17507464997800753,0.000518801887930201,FIDIC 13.8,True,False,water
